No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
992,SHIP CONSTRUCTION,South Dublin,"Killinarden, Tallaght",26,*N/A,,,,,Q3-2017,
993,SHIP CONSTRUCTION,South Dublin,"Letts Field, Neilstown, Clondalkin",37,*N/A,,,,,Q3-2017,
994,SHIP CONSTRUCTION,South Dublin,"Owendoher, Ballyboden,  Rathfarnham",40,*N/A,,,,,Q3-2017,
995,SHIP CONSTRUCTION,South Dublin,"Dromcarra, Tallaght",14,*N/A,,,,,Q2-2017,
996,SHIP CONSTRUCTION,South Dublin,Fortunestown (MacUilliam),28,*N/A,,,,,Q2-2017,
997,SHIP CONSTRUCTION,South Dublin,"Mayfield Estate, Clondalkin",17,*N/A,,,,,,Q2-2018
998,SHIP CONSTRUCTION,South Dublin,"St Marks Green, Clondalkin",11,*N/A,,,,,,Q3-2018
999,SHIP CONSTRUCTION,South Dublin,St Finians,2,*N/A,,,,,,Q3-2016
1000,SHIP CONSTRUCTION,South Dublin,"Suncroft, Tallaght",10,*N/A,,,,,,Q4-2016
1001,SHIP CONSTRUCTION,South Dublin,Belgard Road,3,*N/A,,,,,,Q1-2016
1002,SHIP CONSTRUCTION,South Dublin,"Homeville, Knocklyon, Dublin 16",16,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1003,CAS CONSTRUCTION,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association Ltd,,,,"Stage 4 approved Q2 2018, the scheme is fully approved.",,
1004,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community : Dublin Simon,,"Stage 2 approved Q4-2016, full design/tender being prepared.",,,,
1005,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),South Dublin,Corkage Grange (part of Kilcarbery),109,*N/A,,,,Q3-2018,,
1006,CALF Turnkey,Tipperary,"Ashbury, Roscrea, Co Tipperary (Phase 1)",12,Cluid Housing ,,,,,,Q2-2017
1007,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,Co-operative Housing Ireland,,,,,Q1-2018,
1008,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 2)",10,Co-operative Housing Ireland,,,,,Q1-2018,
1009,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cloneen Road, Fethard",21,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1010,SHIP CONSTRUCTION TURNKEY,Tipperary,"Strylea, Fethard",3,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1011,SHIP CONSTRUCTION,Tipperary,"Ard na Greine, Clonmel",2,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
1012,SHIP CONSTRUCTION,Tipperary,Knockanrawley,28,*N/A,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
1013,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",28,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
1014,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",9,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
1015,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,*N/A,,,,,,Q3-2018
1016,SHIP CONSTRUCTION,Tipperary,Templetouhy,10,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
1017,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,12,*N/A,"Stage 1 approved Q1-2016, outline design and costs are being prepared.",,,,,
1018,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",10,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
1019,SHIP CONSTRUCTION,Tipperary,Borrisokane,16,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1020,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",18,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
1021,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1022,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1023,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,*N/A,,,,,Q3-2018,
1024,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,*N/A,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
1025,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,*N/A,,,,,,Q3-2016
1026,SHIP CONSTRUCTION,Tipperary,"Mitchel St., Thurles",1,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
1027,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,1,*N/A,,,,,,Q4-2016
1028,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,*N/A,,,,,,Q2-2016
1029,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,*N/A,,,,,,Q2-2016
1030,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",19,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
1031,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",1,*N/A,,,,,,Q3-2017
1032,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,1,*N/A,,,,,Q1-2018,
1033,CAS CONSTRUCTION,Tipperary,"Ballinagrana, Carrick on Suir",3,Camphill Communities of Ireland,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1034,CAS CONSTRUCTION,Tipperary,"Castle Street, Carrick on Suir",1,Camphill Communities of Ireland,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1035,CAS CONSTRUCTION,Tipperary,"The Strand, Carrick on Suir",3,Camphill Communities of Ireland,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1036,CAS CONSTRUCTION,Tipperary,Fethard,4,Belmont Park Housing Association Ltd,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1037,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
1038,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1039,CALF Construction,Waterford,"St Johns College, Waterford (Phase 1)",36,Respond,,,,,,Q1-2016
1040,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan (Part 1)",31,*N/A,,,,,Q4-2017,
1041,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan (Part 2)",8,*N/A,,,,,,Q3-2018
1042,SHIP CONSTRUCTION TURNKEY,Waterford,"Gibbethill, Gracedieu",5,*N/A,,,,,,Q3-2018
1043,SHIP CONSTRUCTION TURNKEY,Waterford,"Carrickphierish, Gracedieu, Waterford",31,*N/A,,,,,Q4-2017,
1044,SHIP CONSTRUCTION TURNKEY,Waterford,"Shandon, Dungarvan",5,*N/A,,,,,,Q3-2018
1045,SHIP CONSTRUCTION TURNKEY,Waterford,"Airport Road, Waterford City",33,*N/A,,,,,Q1-2018,
1046,SHIP CONSTRUCTION RAPID,Waterford,"Ballygunner, Waterford City",65,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
1047,SHIP CONSTRUCTION RAPID,Waterford,"Ballynaneashagh, Waterford City",20,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
1048,SHIP CONSTRUCTION,Waterford,"An Garran, Crobally Upper, Tramore",50,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
1049,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,*N/A,,,,,Q2-2018,
1050,SHIP CONSTRUCTION,Waterford,"Ardmore Park/Priory Lawn, Waterford City",5,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1051,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",21,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
1052,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,*N/A,,,,,,Q4-2017
1053,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,*N/A,,,,,Q1-2018,
1054,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
1055,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,*N/A,,,,,,Q3-2018
1056,SHIP CONSTRUCTION,Waterford,"Doyle Street, Waterford City",4,*N/A,"Stage 1 approved Q1-2014, outline design and costs are being prepared.",,,,,
1057,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,*N/A,,,,,,Q4-2016
1058,SHIP CONSTRUCTION,Waterford,"The Glen, Bridge St, Waterford",11,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1059,SHIP CONSTRUCTION,Waterford,"Clarendon Court, Penrose Lane, Waterford",24,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
1060,SHIP CONSTRUCTION,Waterford,"Summerland Square, Waterford",12,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
1061,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,Society of Saint Vincent de Paul,,,,,,Q1-2017
1062,CAS CONSTRUCTION,Waterford,"Powersfield, Hennessys Road, Waterford",3,Focus Ireland,,"Stage 2 approved Q2-2016, full design/tender being prepared.",,,,
1063,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond,,,"Stage 3 approved Q3-2017, the scheme is now approved to proceed to tender.",,,
1064,CAS CONSTRUCTION,Waterford,"Gleann Ealach, Dunhill",8,Gleann Ealach Housing Association,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
1065,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Tramore Voluntary Housing Association,"Stage 1 approved Q4-2016, outline design and costs are being prepared.",,,,,
1066,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford",4,Anvers Housing Association Ltd,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1067,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City",57,*N/A,,,Q1-2018,,,
1068,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 1)",2,Túath Housing Association Ltd,,,,Q3-2018,,
1069,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 2)",2,Túath Housing Association Ltd,,,,Q3-2018,,
1070,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 3)",2,Túath Housing Association Ltd,,,,Q3-2018,,
1071,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 4)",2,Túath Housing Association Ltd,,,,Q3-2018,,
1072,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 5)",2,Túath Housing Association Ltd,,,,Q3-2018,,
1073,CALF Turnkey,Westmeath,"Athlone Road, Moate, Co. Westmeath (Phase 1)",14,Oaklee Housing ,,,,Q3-2018,,
1074,CALF Turnkey,Westmeath,"Cluain Mullen, Castlepollard, Westmeath (Phase 1)",2,Túath Housing Association Ltd,,,,,,Q2-2017
1075,CALF Turnkey,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath (Phase 1)",12,Túath Housing Association Ltd,,,,,Q3-2018,
1076,SHIP CONSTRUCTION TURNKEY,Westmeath,"Belvedere Hills, Mullingar",21,*N/A,,,,,,Q4-2017
1077,SHIP CONSTRUCTION TURNKEY,Westmeath,"Cloon Lara, Mullingar",12,*N/A,,,,,Q3-2018,
1078,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",12,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1079,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,*N/A,,,,,Q2-2017,
1080,SHIP CONSTRUCTION,Westmeath,16 Ennell Court,1,*N/A,,,,,,Q1-2018
1081,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Arcadia, Athlone  Phase 1",33,*N/A,,,,,Q2-2018,
1082,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 2),3,*N/A,,,,,,Q2-2016
1083,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,*N/A,,,,,,Q1-2016
1084,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 3),32,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
1085,SHIP CONSTRUCTION,Westmeath,"Cloghanboy, Athlone",10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1086,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",4,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
1087,SHIP CONSTRUCTION,Westmeath,"St. Brigid's Green, Mullingar",14,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
1088,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Arcadia, Athlone Phase 2",18,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
1089,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",4,Túath Housing Association Ltd,,"Stage 2 approved Q2-2017, full design/tender being prepared.",,,,
1090,CALF Turnkey,Wexford,"1 property at  Ard Uisce, Whiterock, Wexford  (Phase 1)",1,Túath Housing Association Ltd,,,,,,Q1-2018
1091,CALF Turnkey,Wexford," 233, 234, 248, 249,252,253 Ard Uisce, Whiterock, Wexford (Phase 1)",6,Túath Housing Association Ltd,,,,,,Q1-2018
1092,CALF Turnkey,Wexford,"238,239,240,241,245 Ard Uisce, Wexford Town (Phase 1)",5,Túath Housing Association Ltd,,,,,,Q4-2017
1093,CALF Turnkey,Wexford,"Ard Uisce, Whiterock, Wexford (Phase 1)*",6,Túath Housing Association Ltd,,,,,,Q1-2017
1094,CALF Turnkey,Wexford,"Ballyboggan, Castlebridge, Co Wexford (Phase 1)",4,Co-operative Housing Ireland,,,,,Q4-2017,
1095,CALF Turnkey,Wexford,"Ballyboggan, Castlebridge, Co Wexford (Phase 2)",14,Co-operative Housing Ireland,,,,,Q4-2017,
1096,CALF Turnkey,Wexford,"Fort Road, Ramsfort Park, Gorey, Co. Wexford (Phase 1)*",11,Co-operative Housing Ireland,,,,,Q1-2018,
1097,CALF Turnkey,Wexford,"Glen Aoibhinn, Ardamine, Courtown Harbour, Gorey (Phase 1)*",5,Co-operative Housing Ireland,,,,,Q1-2018,
1098,CALF Turnkey,Wexford,"Glen Aoibhinn, Ardamine, Courtown Harbour, Gorey (Phase 2)",5,Co-operative Housing Ireland,,,,,Q1-2018,
1099,CALF Turnkey,Wexford,"Greenville, The Moyne, Enniscorthy (Phase 1)",11,Oaklee Housing ,,,,,Q3-2017,
1100,CALF Turnkey,Wexford,"Greenville, The Moyne, Enniscorthy (Phase 2)",10,Oaklee Housing ,,,,,Q3-2017,
1101,CALF Turnkey,Wexford,"Greenville, The Moyne, Enniscorthy (Phase 3)",19,Oaklee Housing ,,,,,Q3-2017,
1102,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 1)",9,Co-operative Housing Ireland,,,,,,Q2-2016
1103,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 2)",9,Co-operative Housing Ireland,,,,,,Q3-2016
1104,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 3)",11,Co-operative Housing Ireland,,,,,,Q1-2017
1105,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 4)",9,Co-operative Housing Ireland,,,,,,Q4-2017
1106,CALF Turnkey,Wexford,"Huntershill, Gorey, Co. Wexford (Phase 1)",23,Co-operative Housing Ireland,,,,,Q4-2017,
1107,CALF Turnkey,Wexford,"Huntershill, Gorey, Co. Wexford (Phase 2)",13,Co-operative Housing Ireland,,,,,Q4-2017,
1108,CALF Turnkey,Wexford,"Meadowfields Enniscorthy, Co. Wexford (Phase 1)",12,Co-operative Housing Ireland,,,,,,Q3-2016
1109,CALF Turnkey,Wexford,"Meadowfields Phase 3, Enniscorthy, Co. Wexford (Phase 1)",14,Co-operative Housing Ireland,,,,,Q1-2018,
1110,CALF Turnkey,Wexford,"Meadowfields Phase 3, Enniscorthy, Co. Wexford (Phase 2)",14,Co-operative Housing Ireland,,,,,Q1-2018,
1111,CALF Turnkey,Wexford,"Gleann an Ghairdin, Gorey, Co. Wexford (Phase 1)",9,Túath Housing Association Ltd,,,,,Q4-2017,
1112,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,*N/A,,,,,,Q3-2017
1113,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 1a)",8,*N/A,,,,,,Q1-2018
1114,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",9,*N/A,,,,,Q1-2018,
1115,SHIP CONSTRUCTION TURNKEY,Wexford,"Castlebridge, Co Wexford",3,*N/A,,,,,,Q3-2018
1116,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 2)",4,*N/A,,,,,Q1-2018,
1117,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock,Wexford",26,*N/A,,,,,Q1-2018,
1118,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 1b)",10,*N/A,,,,,Q1-2018,
1119,SHIP CONSTRUCTION,Wexford,"SN Castlemoyle, New Ross",1,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1120,SHIP CONSTRUCTION,Wexford,"Cloghultagh, Taghmon",18,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
1121,SHIP CONSTRUCTION,Wexford,"Coolcotts, Clonard",7,*N/A,,,,,Q3-2018,
1122,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,*N/A,,,,,Q2-2018,
1123,SHIP CONSTRUCTION,Wexford,Danescastle,12,*N/A,,,,,Q3-2018,
1124,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,*N/A,,,,,Q2-2018,
1125,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",45,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1126,SHIP CONSTRUCTION,Wexford,Cois Mara,2,*N/A,,,,,,Q3-2018
1127,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",34,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
1128,SHIP CONSTRUCTION,Wexford,Oylegate,2,*N/A,,,,,,Q2-2018
1129,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,*N/A,,,,,,Q3-2018
1130,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,,,,Q3-2018,
1131,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",9,*N/A,,,,,Q4-2017,
1132,SHIP CONSTRUCTION,Wexford,"Baile an Tr , Riverchapel (Courtown Ardamine)",10,*N/A,,,,,,Q2-2016
1133,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts",8,*N/A,,,,,,Q1-2016
1134,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford",1,*N/A,,,,,,Q1-2017
1135,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,*N/A,,,,,,Q2-2016
1136,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",6,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
1137,SHIP CONSTRUCTION,Wexford,"Ballywish, Castlebridge",11,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1138,SHIP CONSTRUCTION,Wexford,"Rosetown, Rosslare, Co Wexford",43,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1139,SHIP CONSTRUCTION,Wexford,"Carley's Bridge, Enniscorthy, Co Wexford",17,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1140,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey, Co Wexford",12,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
1141,CAS CONSTRUCTION,Wexford,Barrystown,16,Grantstown Voluntary Housing Association Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1142,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association Ltd,,,,,,Q3-2017
1143,CAS CONSTRUCTION,Wexford,"Wexford Women's Refuge, Maudlintown, Co Wexford",12,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1144,CALF Construction,Wicklow,"Post Tender St Ernans View, Merrymeeting, Rathnew, Co Wicklow  (Phase 1)",45,Cluid Housing ,,,,Q3-2018,,
1145,CALF Turnkey,Wicklow,"Abbey St, Wicklow  (Phase 1)",6,Túath Housing Association Ltd,,,,,Q4-2016,
1146,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co Wicklow  (Phase 1)*",5,Túath Housing Association Ltd,,,,,,Q2-2018
1147,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co. Wicklow (Phase 1)*",13,Túath Housing Association Ltd,,,,,Q1-2018,
1148,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co. Wicklow (Phase 2)*",6,Túath Housing Association Ltd,,,,,Q1-2018,
1149,CALF Turnkey,Wicklow,"The Meadows, Ballynerrin, Wicklow Town (Phase 1)*",7,Túath Housing Association Ltd,,,,,Q3-2017,
1150,SHIP CONSTRUCTION TURNKEY,Wicklow,"Mill Court, Tinahely, Phase 1",2,*N/A,,,,,,Q2-2018
1151,SHIP CONSTRUCTION TURNKEY,Wicklow,"7 Mill Court, Tinahely",1,*N/A,,,,,Q2-2018,
1152,SHIP CONSTRUCTION TURNKEY,Wicklow,"Vale Road, Arklow",34,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1153,SHIP CONSTRUCTION TURNKEY,Wicklow,"Fernhill, Arklow",1,*N/A,,,,,,Q3-2018
1154,SHIP CONSTRUCTION TURNKEY,Wicklow,"Mill Court, Tinahely, Phase 2",2,*N/A,,,,,Q2-2018,
1155,SHIP CONSTRUCTION RAPID,Wicklow,"Whitehall, Baltinglass",34,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
1156,SHIP CONSTRUCTION RAPID,Wicklow,Rathnew,47,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
1157,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 3)",21,*N/A,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
1158,SHIP CONSTRUCTION,Wicklow,"10A Castle Villas, Greystones",1,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1159,SHIP CONSTRUCTION,Wicklow,"Ard Na Mara, Kilcoole",2,*N/A,,,,,Q3-2018,
1160,SHIP CONSTRUCTION,Wicklow,"Druids Brook, Kilcoole",2,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1161,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 1)",17,*N/A,,,,,Q4-2017,
1162,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 2)",26,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1163,SHIP CONSTRUCTION,Wicklow,"FCA Hall, Wicklow Town",8,*N/A,,,,,Q3-2018,
1164,SHIP CONSTRUCTION,Wicklow,"Kilmantain Place, Bray",4,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1165,SHIP CONSTRUCTION,Wicklow,"O'Byrne Road, Bray",1,*N/A,,,,,Q3-2017,
1166,SHIP CONSTRUCTION,Wicklow,"Old Library, Arklow",7,*N/A,,,,,Q1-2018,
1167,SHIP CONSTRUCTION,Wicklow,"Sugarloaf View, Kilmacanogue",20,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
1168,SHIP CONSTRUCTION,Wicklow,"Avondale Heights, Rathdrum (Phase 2)",20,*N/A,,,,,Q3-2017,
1169,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",42,*N/A,,,,,Q2-2018,
1170,SHIP CONSTRUCTION,Wicklow,"16A Oak Drive, Blessington",1,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
1171,SHIP CONSTRUCTION,Wicklow,"Carrig Eden,1 Marine Road, Greystones",30,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1172,SHIP CONSTRUCTION,Wicklow,"Farrankelly, Greystones (Phase 2)",24,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
1173,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Wicklow,Convent Lands,51,*N/A,,,Q1-2018,,,
