No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION,Wexford,Danescastle,12,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",45,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,Cois Mara,2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",34,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,Oylegate,2,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",9,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wexford,"Baile an Tr , Riverchapel (Courtown Ardamine)",10,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts",8,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",6,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,"Ballywish, Castlebridge",11,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,"Rosetown, Rosslare, Co Wexford",43,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Carley's Bridge, Enniscorthy, Co Wexford",17,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey, Co Wexford",12,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Wexford,Barrystown,16,Grantstown Voluntary Housing Association Ltd,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association Ltd,,,,,,Q3-2017
,CAS CONSTRUCTION,Wexford,"Wexford Women's Refuge, Maudlintown, Co Wexford",12,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Wexford," 233, 234, 248, 249,252,253 Ard Uisce, Whiterock, Wexford (Phase 1)",6,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Wexford,"238,239,240,241,245 Ard Uisce, Wexford Town (Phase 1)",5,Túath Housing Association Ltd,,,,,,Q4-2017
,CALF Turnkey,Wexford,"247 Ard Uisce, Whiterock, Wexford  (Phase 1)",1,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Wexford,"Ard Uisce, Whiterock, Wexford (Phase 1)",6,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Wexford,"Ballyboggan, Castlebridge, Co Wexford (Phase 1)",4,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Wexford,"Ballyboggan, Castlebridge, Co Wexford (Phase 2)",6,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Wexford,"Fort Road, Ramsfort Park, Gorey, Co. Wexford (Phase 1)*",11,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Turnkey,Wexford,"Gleann an Ghairdin, Gorey, Co. Wexford (Phase 1)",9,Túath Housing Association Ltd,,,,,Q1-2017,
,CALF Turnkey,Wexford,"Glen Aoibhinn, Ardamine, Courtown Harbour, Gorey (Phase 1)*",10,Co-operative Housing Ireland,,,,,Q1-2018,
,CALF Turnkey,Wexford,"Greenville, The Moyne, Enniscorthy (Phase 1)",40,Oaklee Housing ,,,,,Q3-2017,
,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 1)",9,Co-operative Housing Ireland,,,,,,Q2-2016
,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 2)",9,Co-operative Housing Ireland,,,,,,Q3-2016
,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 3)",11,Co-operative Housing Ireland,,,,,,Q1-2017
,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 4)",9,Co-operative Housing Ireland,,,,,,Q4-2017
,CALF Turnkey,Wexford,"Huntershill, Gorey, Co. Wexford (Phase 1)",13,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Wexford,"Huntershill, Gorey, Co. Wexford (Phase 2)",13,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Wexford,"Huntershill, Gorey, Co. Wexford (Phase 3)",10,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Wexford,"Meadowfields Enniscorthy, Co. Wexford (Phase 1)",12,Co-operative Housing Ireland,,,,,,Q3-2016
,CALF Turnkey,Wexford,"Meadowfields Phase 3, Enniscorthy, Co. Wexford (Phase 1)",28,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2018,,
,SHIP CONSTRUCTION TURNKEY,Wicklow,"Mill Court, Tinahely",4,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Wicklow,"Mill Court, Tinahely",2,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION RAPID,Wicklow,"Whitehall, Baltinglass",34,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 3)",21,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"10A Castle Villas, Greystones",1,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wicklow,"Ard Na Mara, Kilcoole",2,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Druids Brook, Kilcoole",2,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 1)",17,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 2)",26,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"FCA Hall, Wicklow Town",8,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Kilmantain Place, Bray",4,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"O'Byrne Road, Bray",1,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Wicklow,"Old Library, Arklow",7,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Wicklow,"Sugarloaf View, Kilmacanogue",20,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Avondale Heights, Rathdrum (Phase 2)",20,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",42,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Wicklow,"16A Oak Drive, Blessington",1,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Carrig Eden,1 Marine Road, Greystones",30,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wicklow,"Farrankelly, Greystones (Phase 2)",24,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Wicklow,"Lathaleer, Baltinglass",5,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2017, outline design and costs being prepared.",,,,,
,CALF Turnkey,Wicklow,"Abbey St, Wicklow  (Phase 1)",6,Túath Housing Association Ltd,,,,,Q4-2016,
,CALF Turnkey,Wicklow,"Bollarney North, Wicklow (Phase 1)*",32,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co Wicklow  (Phase 1)*",5,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co. Wicklow (Phase 1)",13,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Wicklow,"Glenheron, Greystones, Co. Wicklow (Phase 2)",6,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Construction,Wicklow,"St Ernans View, Merrymeeting, Rathnew, Co Wicklow  (Phase 1)",45,Cluid Housing ,,,,Scheme approved for CALF funding Q1-2017,,
,CALF Turnkey,Wicklow,"The Meadows, Ballynerrin, Wicklow Town (Phase 1)",7,Túath Housing Association Ltd,,,,,Q3-2017,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Wicklow,Convent Lands,51,*N/A,,,Q1-2018,,,
